X,Y,OBJECTID,status,eventIsland,directLineDistance1,directLineDistance2,directLineDistance3,eventDescription,eventType,expectedResolution,impact,planned,restrictions,startDate,endDate,informationSource,supplier,eventCreated,eventModified,GDB_GEOMATTR_DATA,GlobalID,eventComments,locationArea,alternativeRoute,eventId,CreationDate,Creator,EditDate,Editor
1770747.29581333,5810801.43921427,100344,Resolved,North Island,1.72 km west of Te Uku,2.82 km northeast of Kauroa,2.84 km southeast of Okete,Maintenance,Road Work,Until further notice,Caution,true,,2023/09/20 21:43:00+00,2023/09/21 06:00:00+00,NMC,Official,2023/09/20 21:45:29.703+00,2023/09/21 06:01:49.920+00,,147c3896-15ec-4b14-90f7-bfbd751f1e5f,,SH 23 Raglan,,442892,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1460234.58562072,5083424.86389126,100345,Active,South Island,0.51 km east of Maori Hill,0.90 km southeast of Waimataitai,0.99 km northeast of Seaview,Services,Road Work,Until further notice,Delays,true,,2023/09/19 00:12:00+00,2023/09/29 00:00:00+00,NMC,Official,2023/09/19 00:15:21.593+00,2023/09/19 00:15:21.593+00,,ed8f4690-ab05-4198-9eef-c5caa308be5a,,"SH 1 Timaru, Evans St near Beverley Rd",,442731,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1575202.29383774,5175673.31157794,100346,Scheduled,South Island,,,,Pavement Repairs,Road Work,02/10/2023 06:00,Road Closed,true,,2023/10/01 06:00:00+00,2023/10/01 18:00:00.757+00,NZTA,Official,2023/09/21 01:16:37.120+00,2023/09/21 18:21:14.837+00,,c1c29fe2-753b-42c6-a7eb-b175f6ea4cb6,,SH 74 Heathcote (Port Hills Road Off-ramp),,442940,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1668816.15029304,5322790.46515745,100347,Active,South Island,,,,Other,Road Work,Until further notice,Caution,true,,2023/08/22 21:00:00.313+00,2023/09/30 05:00:00.313+00,NZTA,Official,2023/08/23 01:00:01.190+00,2023/08/23 01:00:04.157+00,,54844439-cdca-4c76-9b9e-c7b708390406,,SH 1 3.5km north of Half Moon Bay,,439458,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1765737.45741014,5441983.62396657,100348,Active,North Island,,,,Slip,Road Hazard,Until further notice,Caution,false,,2023/08/25 17:43:55.737+00,,NZTA,Official,2023/08/25 17:43:56.153+00,2023/09/17 09:34:46.107+00,,cdeffbf7-00c6-4ae5-8fb2-6b2a82bd1466,,"SH 58 Haywards, near Hebden Crescent",,439669,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1764333.68098487,5787081.48179455,100349,Active,North Island,3.37 km southeast of Okapu,4.53 km east of Kawhia,4.78 km west of Oparau,Other,Road Work,Until further notice,Caution,true,,2023/08/30 21:27:00+00,2023/10/30 12:00:00+00,NMC,Official,2023/08/30 21:28:02.890+00,2023/09/21 21:24:19.547+00,,1fb1070f-1e73-425d-be29-cbf893c37165,,SH 31 Kawhia,,440053,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1708287.21915364,5682349.13601313,100350,Active,North Island,,,,Other,Road Work,Until further notice,Delays,true,,2023/04/16 19:00:01+00,2023/12/01 05:30:01+00,NZTA,Official,2023/04/10 19:30:08.180+00,2023/08/25 01:52:12.397+00,,bbf6e4b7-8b9c-4ee7-9aef-fd4330b2bc4d,,"SH 3 Waitara, intersection with Princess Street",,421106,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1769533.50472057,5901995.7005615,100351,Resolved,North Island,1.32 km northwest of Manurewa East,2.72 km northeast of Manurewa,3.06 km east of Homai,Maintenance,Road Work,22/09/2023 04:14,Road Closed,true,,2023/09/21 09:00:00+00,2023/09/21 16:14:28.947+00,NZTA,Official,2023/09/20 23:44:05.890+00,2023/09/21 16:14:28.187+00,,2496cfc1-f62e-4070-8054-66979fbf8ac2,,SH 1 Hill Rd Off-ramp Southbound,,442916,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1239762.47180106,4834512.25475557,100352,Active,South Island,,,,Road Construction,Road Work,10/10/2023 18:00,Caution,true,,2023/07/30 19:00:50+00,2023/10/10 06:00:50+00,NZTA,Official,2023/07/24 18:25:54.423+00,2023/07/30 19:01:49.713+00,,27798139-a2bb-4084-bf60-29cf91a74307,,"SH 1 Bluff to Invercargill, near Omaui Road",,435749,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1907373.40163912,5808251.24464178,100356,Active,North Island,2.12 km northeast of Pongakawa,2.76 km west of Pukehina,3.75 km east of Maniatutu,Resurfacing,Road Work,30/10/2023 06:00,Delays,true,,2023/09/17 18:00:00+00,2023/10/29 18:00:00+00,NMC,Official,2023/09/05 22:15:55.063+00,2023/09/17 18:01:48.687+00,,751c0fc2-a74c-4ec3-9b6e-25f992cd1d05,,SH 2 Matata to (SH33) Paengaroa,,440495,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
